"name","latitude","longitude","country","notes","reef_type","reef_zone","exposure"
"Mantalip",9.79696404726736,123.16605344904,"Philippines",NA,NA,NA,NA
"Mantalip",9.79696404726736,123.16605344904,"Philippines",NA,NA,NA,NA
"Mantalip Marine Reserve",9.79551111082138,123.167642571056,"Philippines",NA,NA,NA,NA
"Mantalip Marine Reserve",9.79551111082138,123.167642571056,"Philippines",NA,NA,NA,NA
"Maribojoc Inside Station 1",9.94723,125.95507,"Philippines",NA,NA,NA,NA
"Maribojoc Marine Protected Area",9.94746818181818,125.954677,"Philippines",NA,NA,NA,NA
"Maribojoc Marine Protected Area",9.94746818181818,125.954677,"Philippines",NA,NA,NA,NA
"Maribojoc Outside Station 2",9.94783,126.95408,"Philippines",NA,NA,NA,NA
"Nagub-an MPA Inside Station1",10.68562,124.30733,"Philippines",NA,NA,NA,NA
"Pamosaingan Inside Station 1",9.68204,125.91595,"Philippines",NA,NA,NA,NA
"Pamosaingan Inside Station 2",9.69323,125.91211,"Philippines",NA,NA,NA,NA
"Pamosaingan Marine Sanctuary",9.68586392612859,125.912636689466,"Philippines",NA,NA,NA,NA
"Pamosaingan Marine Sanctuary",9.68586392612859,125.912636689466,"Philippines",NA,NA,NA,NA
"Pamosaingan Outside Station 1",9.65914,125.9102,"Philippines",NA,NA,NA,NA
"Pamosaingan Outside Station 2",9.70321,125.91297,"Philippines",NA,NA,NA,NA
"Pandilosan Island Marine Sanctuary",7.46148632,122.69124528,"Philippines",NA,NA,NA,NA
"Patria Inside Station 1",11.7328420171674,122.014172875536,"Philippines",NA,NA,NA,NA
"Pilar Marine Fish Sanctuary",9.8605882122905,126.101387709497,"Philippines",NA,NA,NA,NA
"Pilar Park Inside Station1",10.79676,124.57027,"Philippines",NA,NA,NA,NA
"Pilar Park Outside Station2",10.79674,124.57027,"Philippines",NA,NA,NA,NA
"Poblacion",9.27956365439093,126.204261728045,"Philippines",NA,NA,NA,NA
"Poblacion Inside Station 1",9.78903483870968,126.118234516129,"Philippines",NA,NA,NA,NA
"Poblacion Inside Station 2",9.78578780722892,126.128670361446,"Philippines",NA,NA,NA,NA
"Poblacion Marine Protected Area",9.27957077948718,126.204262102564,"Philippines",NA,NA,NA,NA
"Puertobello MPA Inside Station1",10.68785,124.49812,"Philippines",NA,NA,NA,NA
"Puntod Shoal Inside Station 1",11.6075292027469,122.01845867284,"Philippines",NA,NA,NA,NA
"Ragnas",NA,NA,"Philippines",NA,NA,NA,NA
"Ragnas",NA,NA,"Philippines",NA,NA,NA,NA
"Ragnas Marine Protected Area",12.9706728017345,124.164291544206,"Philippines",NA,NA,NA,NA
"Ragnas Marine Protected Area",12.9706728017345,124.164291544206,"Philippines",NA,NA,NA,NA
"Salvacion Inside Station 1",9.85388,126.11036,"Philippines",NA,NA,NA,NA
"Salvacion Inside Station 2",9.85355,126.10806,"Philippines",NA,NA,NA,NA
"Salvacion Marine Protected Area",9.85362955357143,126.108614464286,"Philippines",NA,NA,NA,NA
"San Antonio",14.0374160520607,123.394598915401,"Philippines",NA,NA,NA,NA
"San Antonio & Salingogon Fish sanctuaries",14.0363497986577,123.394399932886,"Philippines",NA,NA,NA,NA
"San Antonio & Salingogon Fish sanctuaries",14.0363497986577,123.394399932886,"Philippines",NA,NA,NA,NA
"San Isidro MPA Inside Station2",10.61462,124.35483,"Philippines",NA,NA,NA,NA
"San Isidro MPA Outside Station1",10.61489,124.36065,"Philippines",NA,NA,NA,NA
"San Juan Marine Protected Area",10.45482,123.44734,"Philippines",NA,NA,NA,NA
"San Salvador Marine Protected Area",15.5243213923014,119.899105012285,"Philippines",NA,NA,NA,NA
"San Salvador Marine Protected Area",15.5243213923014,119.899105012285,"Philippines",NA,NA,NA,NA
"T. Arlan Inside Station 1",10.01406,126.02107,"Philippines",NA,NA,NA,NA
"T. Arlan Marine Protected Area",10.0161669444444,126.020973632479,"Philippines",NA,NA,NA,NA
"T. Arlan Marine Protected Area",10.0161669444444,126.020973632479,"Philippines",NA,NA,NA,NA
"T. Arlan Outside Station 2",10.01887,126.02085,"Philippines",NA,NA,NA,NA
"Takot-Lawum Proposed Marine Protected Area",7.76211,122.695,"Philippines",NA,NA,NA,NA
"Talisay Inside Station 1",9.95945,125.99199,"Philippines",NA,NA,NA,NA
"Talisay Marine Fish Sanctuary",9.96615216049383,125.983573333333,"Philippines",NA,NA,NA,NA
"Talisay Marine Fish Sanctuary",9.96615216049383,125.983573333333,"Philippines",NA,NA,NA,NA
"Talisay Outside Station 2",9.9702,125.97849,"Philippines",NA,NA,NA,NA
"Tigasao Inside Station 1",9.93799,126.10743,"Philippines",NA,NA,NA,NA
"Tingib Inside Station 1",11.7284671165644,122.045615030675,"Philippines",NA,NA,NA,NA
"Tinigbas Marine Sanctuary",11.7551917215022,121.862231000332,"Philippines",NA,NA,NA,NA
"Tinigbas Marine Sanctuary",11.7551917215022,121.862231000332,"Philippines",NA,NA,NA,NA
"Tulang Diot Inside Station1",10.71997,124.31458,"Philippines",NA,NA,NA,NA
"Tulang Diot Inside Station2",10.71983,124.48389,"Philippines",NA,NA,NA,NA
"Uba",9.288065097423,126.203839252043,"Philippines",NA,NA,NA,NA
"Uba",9.288065097423,126.203839252043,"Philippines",NA,NA,NA,NA
"Uba Marine Protected Area",9.28728504568339,126.203197652433,"Philippines",NA,NA,NA,NA
"Uba Marine Protected Area",9.28728504568339,126.203197652433,"Philippines",NA,NA,NA,NA
"Villahermosa Inside Station1",10.67045,124.51665,"Philippines",NA,NA,NA,NA
