"ma_name","name","latitude","longitude","country","reef_type","reef_zone","reef_exposure"
"Tinambac","san_antonio",14.0374160520607,123.394598915401,"Philippines",NA,NA,NA
"Tinambac","san_antonio_&_salingogon_fish_sanctuaries",14.03876,123.39632,"Philippines","fringing","crest","semi-exposed"
"Tudela","calmante__proposed_station1",10.63869,124.49599,"Philippines",NA,NA,NA
"Tudela","calmante__proposed_station2",10.63937,124.49796,"Philippines",NA,NA,NA
"Tudela","puertobello_mpa_inside_station1",10.68785,124.49812,"Philippines",NA,NA,NA
"Tudela","villahermosa_inside_station1",10.67045,124.51665,"Philippines",NA,NA,NA
"Tungawan","a:_bangaan_marine_sanctuary",7.4875,122.41495,"Philippines","fringing","crest","semi-exposed"
"Tungawan","b:_bangaan_marine_sanctuary",7.4974,122.43578,"Philippines","fringing","channel","semi-exposed"
NA,"a:_tambanan_fish_sanctuary",7.31032,122.80001,"Philippines",NA,NA,NA
NA,"b:_tambanan_fish_sanctuary",7.3056,122.79993,"Philippines",NA,NA,NA
